station,chainage_km,nozomi_stop,hikari_typical_stop,kodama_stop
Tokyo,0.0,1,1,1
Shinagawa,6.8,1,1,1
Shin-Yokohama,25.5,1,1,1
Odawara,76.7,0,1,1
Atami,95.4,0,0,1
Mishima,111.3,0,0,1
Shin-Fuji,135.0,0,0,1
Shizuoka,167.4,0,1,1
Kakegawa,211.3,0,0,1
Hamamatsu,238.9,0,1,1
Toyohashi,274.2,0,0,1
Mikawa-Anjo,312.8,0,0,1
Nagoya,342.0,1,1,1
Gifu-Hashima,367.1,0,0,1
Maibara,408.2,0,0,1
Kyoto,476.3,1,1,1
Shin-Osaka,515.4,1,1,1
